nodeid,shapeid,x,y
699,16,-84.2289175,30.39663
700,16,-84.2288484,30.3965713
701,16,-84.2286984,30.3964268
702,16,-84.2286216,30.3963374
703,16,-84.2286083,30.3963219
704,16,-84.2285894,30.3962933
705,16,-84.2285076,30.3961694
706,16,-84.2284522,30.3960309
707,16,-84.228415,30.395911
708,16,-84.2284135,30.3958854
709,16,-84.22841,30.395826
710,16,-84.228415,30.3958035
711,16,-84.2284268,30.3957502
712,16,-84.2284672,30.3956632
713,16,-84.2284926,30.3956385
714,16,-84.2285532,30.3955797
715,16,-84.2286261,30.3955452
716,16,-84.2286419,30.3955406
717,16,-84.2287321,30.395514
718,16,-84.2288329,30.3955186
719,16,-84.2288581,30.3955197
720,16,-84.2289717,30.3955248
721,16,-84.2291103,30.3955285
722,16,-84.229138,30.3955293
723,16,-84.2293747,30.3955318
724,16,-84.2294414,30.3955332
725,16,-84.2295555,30.3955355
726,16,-84.2296164,30.3955368
727,16,-84.2297645,30.3955412
728,16,-84.2300241,30.3955469
729,16,-84.2300565,30.3955506
730,16,-84.2301359,30.3955598
731,16,-84.230208,30.3955919
732,16,-84.2302556,30.395613
733,16,-84.2303985,30.3957087
734,16,-84.2304449,30.3958174
735,16,-84.2304907,30.3959613
736,16,-84.2305353,30.3961306
737,16,-84.230551,30.39619
738,16,-84.230571,30.3962574
739,16,-84.2306772,30.396616
740,16,-84.2307885,30.3969747
741,16,-84.2308059,30.3970309
742,16,-84.2308256,30.3970962
743,16,-84.230938,30.397469
744,16,-84.2310699,30.397906
745,16,-84.2311916,30.3982451
746,16,-84.2312643,30.3986502
747,16,-84.2312617,30.3990112
748,17,-84.2191696,30.3859365
749,17,-84.2191413,30.3858653
750,17,-84.219068,30.3857172
751,17,-84.2190091,30.3855758
752,17,-84.218956,30.385392
753,17,-84.2189313,30.3852514
754,17,-84.218931,30.385069
755,17,-84.2189185,30.3841187
756,17,-84.2188797,30.3827706
757,17,-84.2188238,30.3824472
758,17,-84.2188082,30.3823601
759,18,-84.221067,30.395656
760,18,-84.2211411,30.3956074
761,18,-84.221279,30.395517
762,18,-84.2213765,30.3954383
763,18,-84.2214537,30.3953759
764,18,-84.2215351,30.3953103
765,18,-84.2216372,30.3952225
766,18,-84.2216789,30.3951846
767,18,-84.221766,30.395093
768,18,-84.2217712,30.3950873
769,18,-84.2218061,30.3950547
770,18,-84.2218747,30.3949847
771,18,-84.2219608,30.3948877
772,18,-84.2219786,30.3948688
773,18,-84.2220835,30.3947281
774,18,-84.2221566,30.3946323
775,18,-84.222233,30.3945324
776,18,-84.222276,30.394476
777,18,-84.2223041,30.3944281
778,18,-84.2224311,30.3941946
779,18,-84.2225734,30.3938522
780,18,-84.222611,30.3937306
781,18,-84.2226262,30.39369
782,18,-84.2226647,30.3935658
783,19,-84.2198829,30.3945836
784,19,-84.2199408,30.394516
785,19,-84.2201307,30.3942969
786,19,-84.220159,30.39426
787,19,-84.220284,30.3940975
788,19,-84.2203202,30.3940504
789,19,-84.2203987,30.3939308
790,19,-84.2205535,30.3936952
791,19,-84.2205767,30.3936599
792,19,-84.220648,30.3935176
793,19,-84.2207355,30.393343
794,19,-84.2207569,30.3933004
795,19,-84.2208127,30.3931867
796,20,-84.2356625,30.3871362
797,20,-84.2354605,30.3871063
798,20,-84.2353713,30.3870931
799,20,-84.2350608,30.3870511
800,20,-84.2349671,30.3870424
801,21,-84.2100816,30.3857101
802,21,-84.2100577,30.385806
803,21,-84.2098654,30.3865569
804,21,-84.2098504,30.3866154
805,21,-84.2096579,30.3871298
806,21,-84.2095957,30.3872961
807,21,-84.2095738,30.3873485
808,21,-84.2094213,30.3877144
809,21,-84.20903,30.3886743
810,21,-84.208702,30.3894788
811,21,-84.2085754,30.390022
812,21,-84.208521,30.3905869
813,21,-84.2085202,30.3909447
814,21,-84.2085366,30.3910591
815,21,-84.2085892,30.3915424
816,21,-84.2086852,30.3918792
817,21,-84.2088126,30.3922551
818,21,-84.2091661,30.3931284
819,21,-84.209514,30.3940847
820,21,-84.2096419,30.3946981
821,21,-84.2096972,30.3950614
822,21,-84.2097129,30.3954805
823,21,-84.2097103,30.3959049
824,21,-84.20971,30.3959622
825,21,-84.2096918,30.3963146
826,21,-84.2096354,30.3966849
827,21,-84.2096302,30.3967561
828,21,-84.2096208,30.396798
829,21,-84.2094666,30.3974875
830,21,-84.2094506,30.3975589
831,21,-84.2093681,30.3983303
832,21,-84.2093616,30.3983908
833,21,-84.2093434,30.399177
834,21,-84.2093419,30.3992419
835,21,-84.2093279,30.4008777
836,21,-84.2093276,30.4009863
